epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,732.917,1.10166,0.82515,1.19268,0.69875,0.56971,0.61931,0.32257,1.64992,1.48436,1.65841,0.0008045,0.0008045,0.0008045
110,739.567,1.10449,0.81061,1.15644,0.66457,0.57272,0.59846,0.3222,1.5925,1.41155,1.62567,0.000800375,0.000800375,0.000800375
111,746.238,1.0872,0.81593,1.17754,0.63532,0.60699,0.60437,0.31588,1.61089,1.40356,1.66169,0.00079625,0.00079625,0.00079625
112,752.762,1.10516,0.83024,1.17508,0.61116,0.6386,0.61015,0.30085,1.75721,1.51131,1.73648,0.000792125,0.000792125,0.000792125
113,759.272,1.07872,0.7843,1.15727,0.65499,0.59885,0.60872,0.31879,1.70521,1.53803,1.70148,0.000788,0.000788,0.000788
114,765.907,1.09672,0.82431,1.18717,0.65853,0.59286,0.63348,0.32779,1.631,1.46189,1.63007,0.000783875,0.000783875,0.000783875
115,772.548,1.09677,0.84493,1.16561,0.73256,0.53102,0.62445,0.30977,1.69418,1.4819,1.66938,0.00077975,0.00077975,0.00077975
116,779.06,1.0493,0.76961,1.14316,0.76404,0.55111,0.63246,0.32454,1.67995,1.46165,1.65456,0.000775625,0.000775625,0.000775625
117,785.805,0.99939,0.74258,1.12047,0.61898,0.58921,0.61044,0.31435,1.71288,1.4768,1.73444,0.0007715,0.0007715,0.0007715
118,792.388,1.04162,0.80241,1.14035,0.71662,0.5696,0.62522,0.33031,1.65526,1.40617,1.64647,0.000767375,0.000767375,0.000767375
119,799.023,1.03208,0.7871,1.14737,0.63963,0.53091,0.57337,0.30541,1.70285,1.58446,1.70163,0.00076325,0.00076325,0.00076325
120,805.522,1.06608,0.8201,1.17171,0.6559,0.61618,0.63901,0.33795,1.68026,1.41161,1.68039,0.000759125,0.000759125,0.000759125
121,813.485,1.07817,0.82315,1.15846,0.67021,0.53973,0.59074,0.31324,1.71675,1.49227,1.7367,0.000755,0.000755,0.000755
122,822.862,1.03918,0.75346,1.15019,0.65166,0.59082,0.6271,0.3256,1.69122,1.36901,1.71302,0.000750875,0.000750875,0.000750875
123,829.344,1.10661,0.7972,1.17881,0.66375,0.5925,0.6184,0.30769,1.70624,1.44519,1.71062,0.00074675,0.00074675,0.00074675
124,835.784,1.03029,0.75485,1.14209,0.74571,0.51764,0.61998,0.31687,1.68662,1.40073,1.69377,0.000742625,0.000742625,0.000742625
125,842.27,1.035,0.74357,1.10869,0.68756,0.59788,0.63199,0.32322,1.70838,1.45862,1.72328,0.0007385,0.0007385,0.0007385
126,848.712,1.04115,0.73769,1.15297,0.66913,0.54676,0.59355,0.30918,1.70329,1.4766,1.69163,0.000734375,0.000734375,0.000734375
127,855.244,1.00487,0.71616,1.10832,0.71282,0.55612,0.60811,0.30683,1.70125,1.48773,1.67743,0.00073025,0.00073025,0.00073025
128,861.888,1.00765,0.73688,1.13854,0.76371,0.54068,0.63329,0.32582,1.68409,1.46142,1.6819,0.000726125,0.000726125,0.000726125
129,868.612,0.99809,0.72158,1.1017,0.73215,0.58052,0.63237,0.32878,1.65633,1.43625,1.68095,0.000722,0.000722,0.000722
130,875.176,1.01066,0.75402,1.14378,0.68369,0.56927,0.62068,0.33965,1.60849,1.53108,1.63302,0.000717875,0.000717875,0.000717875
131,881.675,1.01608,0.72176,1.13456,0.72789,0.55715,0.61324,0.33038,1.65089,1.52793,1.64537,0.00071375,0.00071375,0.00071375
132,888.278,0.99246,0.72345,1.10712,0.66146,0.58441,0.59585,0.31466,1.66567,1.58085,1.66456,0.000709625,0.000709625,0.000709625
133,894.819,0.98879,0.71016,1.12465,0.67215,0.54937,0.59995,0.31792,1.66574,1.50664,1.673,0.0007055,0.0007055,0.0007055
134,901.279,0.97167,0.70488,1.09747,0.70294,0.58183,0.62072,0.31582,1.65984,1.47374,1.65076,0.000701375,0.000701375,0.000701375
135,908.157,0.98375,0.71239,1.10022,0.62659,0.6218,0.61173,0.32168,1.68497,1.39983,1.69722,0.00069725,0.00069725,0.00069725
